,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
59,Poland,0.19322040199999999,0.29766624199999997,1983,2015,33,,2,31,0.21351453284005145,0.28491268103520523,-0.10959316240879258,0.5863312607597191,-0.33533247,0.056428435,-0.258455516,0.193027565,,,,,0.2686940019064206,0.10285546214607123,-0.056033150236836,0.8043884209199818,0.495094126,0.008648666999999999,,
60,Portugal,-0.296384644,0.099527905,1980,2014,35,,3,32,0.3208271797276851,0.10275394574937463,-0.31622021660574323,0.10807125007652857,0.138927235,0.44067486100000003,-0.309002261,0.059069403,0.079143829,0.797173905,,,-0.19173995313542266,0.2488202602474337,0.24107347402338106,0.27979865107362784,0.31844956399999996,0.10547322099999999,,
61,Italy,-0.844051824,5.3e-11,1979,2015,37,,0,37,0.8166320592918678,2.0476881736016672e-07,0.15502690300186026,0.44004824372866014,0.802803495,1.8999999999999998e-08,-0.835712655,6.66e-11,0.6479779689999999,0.016619934,0.046415045999999995,0.8110384490000001,-0.7699381287985179,1.5967086953087783e-08,-0.8604900957459779,8.635912627492169e-09,0.14346152199999998,0.475301299,-0.7556074946912517,2.1490767671881667e-06
62,Qatar,0.15907095599999999,0.571218608,1995,2016,22,,7,15,0.2891233774709477,0.2774393090916504,0.07300136298569232,0.7881786038952799,-0.164539668,0.609343337,-0.332785691,0.207871671,,,-0.0050673179999999995,0.985700336,,,,,,,-0.010025847000243532,0.9717115505706946
63,United Kingdom,-0.859034285,1.0300000000000001e-11,1979,2015,37,,0,37,0.78334273049381,1.3571998694788258e-06,-0.5619058355775478,0.002287072637857777,0.893023971,2.81e-12,-0.884477807,1.7899999999999997e-13,-0.564135104,0.056054766,-0.48534507200000004,0.007612366,-0.7385379696059593,1.202251222062684e-07,-0.7971041032448435,6.477053628638186e-07,,,-0.42045860094440907,0.0231427362757109
64,El Salvador,-0.8612039020000001,4.0600000000000005e-09,1981,2014,34,,6,28,0.7701730270966329,2.6260254735564442e-06,-0.7401943259244149,1.0172239312305051e-05,0.8599431909999999,1.44e-10,-0.870531623,1.24e-12,0.7484257679999999,6.17e-05,0.6455319420000001,0.0006576560000000001,-0.9119093728088632,1.7126999946372455e-15,,,,,-0.6414053655376746,0.0007305219625162321
65,Norway,-0.871024637,3.86e-10,1986,2015,30,,0,30,0.6830549188807323,8.626558950721231e-05,-0.5649968680410499,0.0021360407478231615,0.8522040390000001,3.1399999999999995e-10,-0.833489075,8.320000000000001e-11,0.321513485,0.284078781,-0.583406422,0.000894128,-0.8733341091857312,8.532020385014201e-13,-0.8104983388017499,2.981671255231541e-07,0.578639008,0.0015673689999999999,-0.4186360744211558,0.023808379012706438
66,Kyrgyzstan,-0.8797417609999999,1.57e-11,1981,2015,35,,2,33,0.9250258157238856,5.26808846291262e-12,0.9544452459472216,1.2211898851149228e-14,0.655423918,3.48e-05,-0.711239029,3.2e-05,0.414079053,0.087574214,-0.638091513,0.00019602,,,,,-0.430391001,0.025030228999999998,0.6406645045185794,0.00018120296107704845
67,Saint Lucia,-0.11282687300000001,0.538673424,1979,2014,36,,4,32,-0.2432804491163045,0.22141289575984294,-0.25384126446321337,0.20137854591417148,0.17064468,0.34238161100000003,-0.16599483,0.319244977,,,-0.37786997,0.051979665,,,,,,,-0.10063543851970397,0.617466336148133
68,Saint Vincent and Grenadines,0.285401391,0.140975449,1982,2015,34,,6,28,-0.4287368215661355,0.04649004552598708,-0.3854309875635283,0.07648054847919447,0.286157414,0.24965835100000003,-0.457111366,0.032451423,,,0.206327388,0.34489004799999995,,,,,,,-0.2518532458955093,0.2463359783928215
69,Sweden,-0.8837406459999999,9.78e-11,1987,2016,30,,0,30,0.9015989413692918,1.3850512560743284e-10,-0.8493204632556131,2.1225902344655813e-08,0.925057338,1.42e-14,-0.834913693,7.209999999999999e-11,-0.364235021,0.22113093399999997,-0.738337625,3.2e-06,-0.8747592060684419,7.045076586897066e-13,-0.8661676958518807,5.3053123953580465e-09,0.045252459,0.8226586840000001,-0.7193330870777358,7.492579958329852e-06
